0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:33 +1000] "GET /FlightPub-0.1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:34 +1000] "GET /FlightPub-0.1/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:35 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:35 +1000] "GET /FlightPub-0.1/search HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:35 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:36 +1000] "GET /FlightPub-0.1/results?flightType=return&departureAirport=&arrivalAirport=&departureDate=&returnDate=&passengers=&flightClass=economy HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:36 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:36 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:36 +1000] "GET /FlightPub-0.1/js/script.js HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:37 +1000] "GET /FlightPub-0.1/normal-results HTTP/1.1" 200 33669
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:37 +1000] "GET /FlightPub-0.1/img/AA.png HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:38 +1000] "GET /FlightPub-0.1/bookings HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:38 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:38 +1000] "GET /FlightPub-0.1/img/AA.png HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:38 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:39 +1000] "GET /FlightPub-0.1/flight-details HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:39 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:39 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:41 +1000] "GET /FlightPub-0.1/book-ticket HTTP/1.1" 500 12064
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:46 +1000] "GET /FlightPub-0.1/flight-details HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:46 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [31/Aug/2018:06:57:46 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:01:54 +1000] "GET /FlightPub-0.1/bookings HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:01:54 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:01:54 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:01:54 +1000] "GET /FlightPub-0.1/img/AA.png HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:02:54 +1000] "GET /FlightPub-0.1/flight-details HTTP/1.1" 200 2329
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:02:54 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:02:57 +1000] "GET /FlightPub-0.1/bookings HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:02:57 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:02:57 +1000] "GET /FlightPub-0.1/img/AA.png HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:02:57 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:03:04 +1000] "GET /FlightPub-0.1/search HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:03:04 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:03:04 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:03:06 +1000] "GET /FlightPub-0.1/purchase-history HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:03:06 +1000] "GET /FlightPub-0.1/login HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:03:07 +1000] "GET /FlightPub-0.1/search HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:03:07 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:03:08 +1000] "GET /FlightPub-0.1/bookings HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:03:08 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:03:08 +1000] "GET /FlightPub-0.1/img/AA.png HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:03:08 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:03:42 +1000] "GET /FlightPub-0.1/payment HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:03:42 +1000] "GET /FlightPub-0.1/login HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:04:15 +1000] "POST /FlightPub-0.1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:04:15 +1000] "GET /FlightPub-0.1/login?error HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:04:27 +1000] "POST /FlightPub-0.1/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:04:27 +1000] "GET /FlightPub-0.1/login?error HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:04:28 +1000] "GET /FlightPub-0.1/login?error HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:04:29 +1000] "GET /FlightPub-0.1/login HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:04:30 +1000] "GET /FlightPub-0.1/bookings HTTP/1.1" 200 2776
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:04:30 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:04:30 +1000] "GET /FlightPub-0.1/img/AA.png HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:04:30 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:04:46 +1000] "GET /FlightPub-0.1/search HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:04:46 +1000] "GET /FlightPub-0.1/css/style.css HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [31/Aug/2018:07:04:46 +1000] "GET /FlightPub-0.1/img/flightpub-logo.png HTTP/1.1" 200 3641
