0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:00 +1000] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:03 +1000] "GET /FlightPub-0.2/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:03 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:03 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:03 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:03 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:08 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:08 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:10 +1000] "GET /FlightPub-0.2/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:10 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:10 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:10 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:10 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:12 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:12 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:12 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:12 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:12 +1000] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:13 +1000] "GET /FlightPub-0.2/search HTTP/1.1" 200 2533
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:13 +1000] "GET /FlightPub-0.2/js/script.js HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:13 +1000] "GET /FlightPub-0.2/css/style.css HTTP/1.1" 200 4054
0:0:0:0:0:0:0:1 - - [04/Oct/2018:10:27:13 +1000] "GET /FlightPub-0.2/img/flightpub-logo.png HTTP/1.1" 200 3641
