0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:09:34 +1000] "GET /FlightPub-test/img/placeholder.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:09:35 +1000] "GET /FlightPub-test/bookings HTTP/1.1" 200 2727
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:09:35 +1000] "GET /FlightPub-test/img/placeholder.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:09:35 +1000] "GET /FlightPub-test/css/style.css HTTP/1.1" 200 3947
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:09:35 +1000] "GET /FlightPub-test/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:09:39 +1000] "GET /FlightPub-test/book-ticket HTTP/1.1" 200 2436
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:09:39 +1000] "GET /FlightPub-test/css/style.css HTTP/1.1" 200 3947
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:09:39 +1000] "GET /FlightPub-test/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:05 +1000] "GET /FlightPub-test/bookings HTTP/1.1" 200 2727
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:05 +1000] "GET /FlightPub-test/css/style.css HTTP/1.1" 200 3947
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:05 +1000] "GET /FlightPub-test/img/placeholder.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:05 +1000] "GET /FlightPub-test/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:08 +1000] "GET /FlightPub-test/css/style.css HTTP/1.1" 200 3947
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:08 +1000] "GET /FlightPub-test/flight-details HTTP/1.1" 200 2262
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:08 +1000] "GET /FlightPub-test/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:14 +1000] "GET /FlightPub-test/book-ticket HTTP/1.1" 200 2436
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:14 +1000] "GET /FlightPub-test/css/style.css HTTP/1.1" 200 3947
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:14 +1000] "GET /FlightPub-test/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:15 +1000] "GET /FlightPub-test/bookings?ticketType=standby HTTP/1.1" 200 2727
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:15 +1000] "GET /FlightPub-test/img/flightpub-logo.png HTTP/1.1" 200 3641
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:15 +1000] "GET /FlightPub-test/css/style.css HTTP/1.1" 200 3947
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:15 +1000] "GET /FlightPub-test/img/placeholder.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:17 +1000] "GET /FlightPub-test/search HTTP/1.1" 200 2104
0:0:0:0:0:0:0:1 - - [05/Aug/2018:13:11:17 +1000] "GET /FlightPub-test/img/flightpub-logo.png HTTP/1.1" 200 3641
